,Activity_Regex,Age_Regex,Sex_Regex,Species_Regex,Fatal_Regex
237,lobstering,43,m,Nurse shark,n
242,fishing,31,m,"reef shark, 1m",n
246,surfing,61,m,White shark,n
249,wading,10,f,angel shark,n
251,fishing,59,m,dogfish shark,n
254,fishing,34,m,Nurse shark,n
257,scuba diving,59,m,"caribbean reef shark, 4.5'",n
258,spearfishing,43,m,White shark,n
259,floating,42,m,3' to 5' shark,n
262,spearfishing,19,m,5' shark,n
263,floating in tube,6,f,3' to 4' shark,n
264,standing,19,m,3' shark,n
267,diving,60,f,3+ m shark,y
268,swimming,23,m,Mako shark,n
271,surfing,29,m,White shark,y
273,swimming,13,m,5' shark,n
275,swimming,22,f,Bull shark,n
277,swimming,48,m,Blacktip shark,n
278,teasing a shark,23,f,Nurse shark,n
280,fishing,39,m,Mako shark,n
281,surfing,24,m,Bull shark,n
284,swimming,12,m,Wobbegong shark,n
286,spearfishing,26,m,"grey reef shark, 2 m",n
287,spearfishing,26,m,Bull shark,n
288,walking,69,f,Tiger shark,y
290,fishing,34,m,5' to 6' shark,n
302,swimming,41,m,sandtiger shark,n
310,swimming,41,m,sandtiger shark,n
316,paddle boarding,48,m,Tiger shark,n
318,wading,11,m,Blacktip shark,n
319,spearfishing,31,m,3 m shark,n
321,swimming,38,f,"silky shark, 6.5'",n
322,paddle boarding,71,m,9' shark,n
323,surfing,43,m,Bronze whaler shark,n
324,scuba diving,32,m,Tiger shark,n
327,fishing,26,m,Bull shark,n
329,snorkeling,55,m,galapagos shark,n
332,surfing,28,m,"spinner shark, 7'",n
333,surfing,20,m,Bull shark,n
336,wading,28,f,3' to 5' shark,n
340,surfing,42,m,White shark,n
341,surfing,21,m,5' shark,n
342,surfing,21,m,"spinner shark, 5'",n
345,swimming,44,m,Tiger shark,n
348,surfing,25,m,Tiger shark,n
352,wading,13,m,4' to 5' shark,n
353,surfing,14,m,Blacktip shark,n
354,surfing,22,m,Blacktip shark,n
357,surfing,14,m,juvenile shark,n
358,spearfishing,27,m,Tiger shark,n
359,wading,12,m,4' shark,n
364,surfing,42,m,6' shark,n
365,stand-up paddleboarding,50,f,White shark,n
366,fishing,29,m,Hammerhead shark,n
367,surf-skiing,62,m,White shark,n
369,wading,37,f,small shark,n
371,surfing,54,f,White shark,n
372,surfing,21,m,White shark,n
375,surfing,15,m,4' shark,n
376,walking,10,f,3' shark,n
377,fishing,22,m,White shark,n
379,spearfishing,57,m,Hammerhead shark,n
380,surfing,52,m,White shark,n
383,surfing,25,m,Blacktip shark,n
385,scallop diving on hookah,46,m,White shark,y
386,fishing,31,m,Mako shark,n
387,surfing,40,m,Bronze whaler shark,n
388,surfing,45,m,Bull shark,n
389,surfing,34,m,White shark,n
390,surfing,38,m,White shark,n
393,spearfishing,23,f,6' shark,n
395,surfing,52,m,White shark,n
396,body boarding,32,m,White shark,n
397,swimming,68,m,6' to 7' shark,n
399,playing in the water,12,m,4' to 5' shark,n
400,swimming,18,m,Bull shark,n
401,body boarding,19,m,White shark,n
403,surfing,23,m,White shark,n
404,standing,43,m,4' shark,n
405,swimming,19,m,Wobbegong shark,n
407,swimming,6,m,sandtiger shark,n
408,surfing,37,f,White shark,n
409,standing,9,m,small shark,n
412,wading,16,m,Bull shark,n
413,wading,12,f,Bull shark,n
415,boogie boarding,13,f,4' shark,n
416,playing,11,m,Bull shark,n
417,attempting to rescue a shark,17,f,Nurse shark,n
418,surfing,47,m,Bull shark,n
421,spearfishing,19,m,1m to 1.2 m shark,n
423,surfing,18,m,5' shark,n
425,snorkeling,50,m,Bull shark,y
428,diving,29,m,White shark,n
430,wading,63,m,3- to 4-foot shark,n
431,surfing,26,m,White shark,n
432,surf skiing ,71,m,White shark,n
433,photographing the shark,48,m,Blue shark,n
434,surfing,13,m,Bull shark,y
436,spearfishing,70,m,Bull shark,n
439,fishing,36,m,White shark,n
440,swimming,52,m,Mako shark,y
441,snorkeling,58,m,Tiger shark,n
442,hand feeding sharks,9,m,Blacktip shark,n
445,sitting in the water,18,m,Blacktip shark,n
447,swimming,22,f,Tiger shark,y
448,surfing,41,m,3.5 to 4 m shark,y
449,surfing,35,m,2 m to  3 m shark,n
451,rowing,57,m,Bull shark,n
452,fishing,20,m,4' shark,n
458,filming,17,m,1.5 m shark,n
460,snorkeling,34,f,White shark,n
461,surfing,15,m,Raggedtooth shark,n
464,spearfishing,17,m,White shark,y
467,surfing,50,m,White shark,n
468,fishing,40,m,1.5 m shark,n
470,spearfishing,17,m,Tiger shark,y
476,surfing,44,m,2' shark,n
477,snorkeling,53,m,1.5 m shark,n
480,surfing,34,f,Tiger shark,n
486,surfing,13,f,1 m shark,n
487,standing,7,f,Bull shark,n
490,surfing,29,m,Blacktip shark,n
492,surfing,15,m,Blacktip shark,n
495,surfing,28,m,8' to 10' shark,n
496,surfing,23,m,White shark,n
498,feeding fish,36,f,Blacktip shark,n
500,swimming,50,m,7' shark,y
501,fishing,43,m,Bull shark,n
502,kayaking ,20,f,White shark,n
503,fishing,52,m,3' to 4' shark,n
505,surfing,13,f,spinner shark,n
506,surfing,17,m,Blacktip shark,n
509,swimming,30,f,small shark,n
510,surfing,29,m,4' to 6' shark,n
514,spearfishing,31,m,reef shark,n
519,swimming,7,m,Bull shark,n
520,boogie boarding,10,m,4' tp 5' shark,n
524,surfing,20,m,White shark,n
526,swimming,,m,Tiger shark,n
527,surfing,51,m,1.8 metre shark,n
530,swimming,61,m,6' to 8' shark,n
531,swimming,39,m,4' shark,n
537,surfing,19,m,4' to 5' shark,n
538,transatlantic rowing,48,m,oceanic whitetip shark',n
539,spearfishing,42,m,"caribbean reef shark, 7' to 8'",n
544,standing,16,m," sandbar shark, 3' to 4'",n
545,body boarding,39,m,Bronze whaler shark,n
548,swimming,22,f,Bull shark,n
550,tagging sharks,37,f,Blacktip shark,n
551,fell into the water,29,f,Bull shark,n
553,teasing a shark,10,m,Nurse shark,n
555,surfing,35,m,White shark,n
557,surfing,12,m,Not a shark,n
559,swimming,40,f,4' to 5' shark,n
561,surfing,23,m,3' shark,n
569,swimming,63,f,White shark,y
571,swimming,66,m,2 m shark,y
579,surfing,21,m,Blacktip shark,n
580,kitesurfing,21,m,Blacktip shark,n
584,surfing,28,m,7-gill shark?,n
586,spearfishing,24,m,7-gill shark,n
590,snorkeling,37,m,Bull shark,n
591,surfing,19,m,White shark,n
593,boogie boarding,29,m,Tiger shark,n
594,surfing,30,m,4' to 6' shark,n
595,surfing,26,m,Wobbegong shark,n
597,body boarding,19,m,Tiger shark,y
599,surfing,35,m,White shark,y
600,surfing,25,m,White shark,n
605,kiteboarding,46,m,Tiger shark,n
606,snorkeling,60,f,Blacktip shark,n
607,body boarding,24,m,Bull shark,n
609,surfing,41,m,Wobbegong shark,n
610,diving ,45,m,"whitetip reef shark, 4' to 6'",n
611,surfing,25,m,Tiger shark,n
612,wading,6,m,Nurse shark,n
613,swimming,74,m,White shark,y
614,diving for abalone,55,m,White shark,n
615,surfing,45,m,White shark,n
616,wading,12,m,Bull shark,n
622,swimming,21,m,Bull shark,n
623,surfing,13,f,3' shark,n
625,surfing,43,m,3' shark,n
626,standing,25,m,3' shark,n
630,casting a net,9,m,4' shark,n
634,fishing,50,m,Mako shark,n
639,snorkeling,20,f,Tiger shark,y
641,surfing,10,m,Bull shark,n
643,fishing,17,m,Bull shark,n
646,spearfishing,40,m,6' shark,n
648,surfing,18,m,Tiger shark,n
649,cleaning fish,64,m,Nurse shark,n
663,swimming,14,m,4' to 5' shark,n
664,swimming,28,m,Tiger shark,n
668,boogie boarding,10,f,4' to 5' shark,n
669,fishing,58,m,"lemon shark, 4'",n
671,diving,32,m,galapagos shark,n
675,surfing,29,m,galapagos shark,n
677,body boarding,36,m,Bull shark,y
678,surfing,16,m,a small shark,n
680,swimming,34,f,Tiger shark,n
681,fishing,51,m,Nurse shark,n
682,playing in the surf,9,m,3' shark,n
684,surfing,21,m,Bull shark,n
686,kite boarding,53,m,Blacktip shark,n
689,surfing,58,m,4' shark,n
694,fishing,30,m,Raggedtooth shark,n
696,spearfishing,68,m,Tiger shark,y
697,spearfishing,28,m,Bronze whaler shark,n
698,swimming,28,m,"""small sharks""",n
700,swimming,46,m,White shark,y
703,surfing,16,m,Blacktip shark,n
704,scuba diving,48,m,lemon shark,n
709,surfing,43,m,Tiger shark,n
713,surfing,23,m,2.5 m shark,n
714,paddle boarding,29,m,Bull shark,n
715,swimming,20,m,Tiger shark,y
716,surfing,32,m,Tiger shark,n
717,surfing,60,m,10' shark,n
718,spearfishing,31,m,sandtiger shark,n
719,scuba diving,25,f,seven-gill shark,n
720,snorkeling,61,m,Tiger shark,n
722,swimming,32,m,2.5 m shark,y
723,surfing,14,m,2' to 3' shark,n
724,diving,30,m,Tiger shark,n
725,surfing,43,m,Tiger shark,n
726,surfing,25,m,White shark,n
727,swimming,51,f,Tiger shark,n
728,surfing,39,m,White shark,y
731,paddle boarding,55,m,6' to 8' shark,n
735,bodyboarding,11,m,2m shark,n
736,surfing,21,m,5' shark,n
737,surfing,22,m,4' shark,n
739,swimming,29,f,Bull shark,n
746,boogie boarding,8,f,3.5' to 4' shark,n
748,swimming,56,f,3.5' to 4' shark,n
749,fishing,53,m,"porbeagle shark, 7'",n
754,free diving,56,m,"lemon shark, 4' to 5' ",n
755,surfing,39,m,Bull shark,n
758,surfing,48,m,White shark,n
760,surfing,50,m,White shark,n
765,surfing,24,m,White shark,y
769,kayaking,52,m,14' to 18'shark,n
770,surfing,29,m,15' shark,n
772,swimming,6,m,Bull shark,n
774,sitting in the water,16,f,a small reef shark,n
777,surf skiing ,62,m,3 m shark,n
780,fishing,23,m,Nurse shark,n
781,swimming,18,f,Blacktip shark,n
784,swimming,16,m,Blacktip shark,n
785,surfing,42,m,1.5 m shark,n
787,surf skiing ,30,m,White shark,n
790,wading,33,f,"18"" to 24"" shark",n
791,spearfishing,46,m,Bull shark,n
792,surfing,22,m,4' to 5' shark,n
795,fishing,30,m,White shark,n
797,paddle boarding,15,f,White shark,n
798,surfing,28,m,5' shark,n
799,body boarding,20,m,White shark,y
800,kayaking,27,m,White shark,n
801,surfing,28,m,Tiger shark,n
803,scuba diving,33,m,White shark,y
806,surfing,20,m,Bull shark,n
807,surfing,61,m,Bull shark,n
808,surfing,15,f,4' to 5' shark,n
809,surfing,17,m,4' to 5' shark,n
811,"diving, feeding sharks",34,f,Nurse shark,n
813,surfing,19,m,4' shark,n
821,snorkeling,26,m,Tiger shark,n
823,fishing,24,m,Blue shark,n
824,surfing,44,m,White shark,n
825,swimming,25,m,Bull shark,y
826,surfing,53,m,White shark,n
827,surfing,28,m,2 m shark,n
828,spearfishing,34,m,Tiger shark,n
835,surfing,51,m,White shark,n
837,surfing,14,m,Wobbegong shark,n
842,swimming,10,m,Wobbegong shark,n
847,surfing,27,m,White shark,n
848,surfing,26,m,8' to 10' shark,n
850,diving,32,m,White shark,y
851,surfing,41,m,White shark,n
852,diving,50,m,"port jackson shark, 1m",n
856,canoeing,51,m,2 to 2.5 m shark,n
861,swimming,43,m,White shark,n
862,spearfishing,21,m,Bull shark,n
867,surfing,25,m,4' to 6' shark,n
869,surfing,30,m,Tiger shark,n
871,body boarding,21,m,White shark,y
872,surfing,19,m,"6' shark, possibly a blactip or spinner shark",n
873,surfing,19,m,6' shark,n
879,surfing,49,m,White shark,y
881,wading,20,f,possibly a 5' to 6' sandtiger shark,n
883,swimming,25,m,4 m shark,n
884,surfing,32,m,grey reef shark ,n
886,swimming,30,m,Bull shark,y
887,playing in the surf,7,m,Not a shark,n
893,surfing,29,m,White shark,n
904,scuba diving,22,m,Bull shark,n
905,playing in the surf,10,f,Bull shark,n
908,spearfishing,35,m,5' shark,n
912,scuba diving,28,m,Blacktip shark,n
914,spearfishing,28,m,"sevengill shark, 6' to 8'",n
915,wading,19,m,3' to 4' shark,n
918,surfing,33,m,White shark,n
921,spearfishing,28,m,zambesi shark,y
923,kite boarding,15,m,Tiger shark,y
928,spearfishing,32,m,Bull shark,n
929,washing sand off a speared fish,17,m,"reef shark, 1.5m",n
930,surfing,49,m,1' to 2' shark,n
931,surfing,41,m,Bronze whaler shark,n
936,surfing,48,m,Bull shark,n
939,wakeboarding,24,f,3 m to 4 m shark,n
942,fishing,36,m,Bull shark,n
943,spearfishing,21,m,1.5 m shark,n
945,diving for abalone,49,m,White shark,y
950,swimming,38,f,6' shark,n
952,scuba diving,55,m,caribbean reef shark,n
957,body boarding,16,m,6' shark,n
960,snorkeling,70,f,"oceanic whitetip shark, 2.5m ",y
962,snorkeling,54,m,Mako shark,n
963,snorkeling,46,m,Mako shark,n
964,snorkeling,70,f,"oceanic whitetip shark, 2.5m, female",n
965,snorkeling,48,f,"oceanic whitetip shark, 2.5m, female",n
972,snorkeling,20,f,White shark,n
976,scuba diving,30,m,"porbeagle shark, 8' ",n
978,body boarding,19,m,White shark,y
980,surfing,22,m,Bull shark,n
984,surfing,29,m,White shark,n
986,swimming,29,m,White shark,y
987,surfing,15,m,2m shark,n
988,swimming,27,m,3' shark,n
996,surfing,31,m,White shark,y
997,fishing,45,m,White shark,n
1002,windsurfing,35,m,3 m shark,n
1005,standing,37,f,3' to 4' shark,n
1006,standing,16,m,4' shark,n
1008,swimming,10,m,Blacktip shark,n
1009,swimming,13,f,"sandtiger shark, 4' to 5'",n
1010,surfing,55,m,a small spinner shark,n
1011,swimming,9,m,angel shark,n
1015,fishing,20,m,Blue shark,n
1016,surfing,19,m,4' shark,n
1017,stand-up paddleboarding,48,m,8' shark,n
1018,surfing,20,m,Bull shark,n
1021,swimming,17,m,1 m shark,n
1022,boogie boarding,18,f,4' shark,n
1025,fishing,49,m,"lemon shark, 4'",n
1026,rescuing,58,f,20 to 30kg shark,n
1027,swimming,60,f,20 to 30kg shark,n
1030,wading,10,f,4' shark,n
1031,measuring sharks,29,m,"lemon shark, 6'",n
1032,surfing,68,m,14' shark,n
1033,surfing,35,m,2 m shark,n
1034,swimming,24,m,"oceanic whitetip shark, 6'",n
1035,surfing,34,m,1.5 m shark,n
1039,snorkeling,60,f,2 m shark,n
1040,surfing,46,m,Wobbegong shark,n
1042,body boarding,18,m,White shark,n
1046,boogie boarding,14,f,1.5 m shark,n
1047,surfing,29,m,Hammerhead shark,n
1051,standing,37,m,White shark,y
1052,snorkeling,9,f,"whitetip reef shark, 1m",n
1060,swimming,27,m,"zambesi shark, 2m ",n
1062,spearfishing,18,m,Bull shark,n
1065,swimming,24,m,White shark,y
1068,diving,58,m,"sandtiger shark, 8'",n
1070,wading,10,m,6' shark,n
1071,fishing,31,m,thresher shark,n
1074,surfing,18,m,4' shark,n
1075,kayaking,25,m,2 m shark,n
1077,kayaking,27,m,White shark,n
1081,surfing,54,m,6' to 8' shark,n
1083,diving,23,m,angel shark,n
1084,diving,23,m,Bull shark,n
1086,fishing,39,m,spurdog,n
1091,swimming,60,m,Not a shark,y
1096,surfing,25,m,White shark,y
1097,swimming,22,f,White shark,n
1101,fishing,56,m,Bull shark,n
1102,spearfishing,14,m,Bull shark,n
1115,swimming,43,f,Nurse shark,n
1116,surfing,52,m,"thought to involve a bronze whale shark, 2m",n
1122,snorkeling,50,f,"oceanic whitetip shark, 2.5 to 3m",y
1123,fishing,46,m,80 kg shark,n
1125,surfing,31,m,Blacktip shark,n
1126,surfing,49,m,Blacktip shark,n
1127,surfing,55,m,Blacktip shark,n
1128,spearfishing,27,m,Blacktip shark,n
1129,spearfishing,48,m,7' shark,n
1135,surfing,31,m,2' to 3' shark,n
1137,surf skiing ,40,m,2' to 3' shark,n
1141,fishing,59,m,Raggedtooth shark,n
1143,surfing,17,m,Bronze whaler shark,n
1146,surfing,17,f,3' to 4' shark,n
1148,swimming,61,m,thought to involve a cookie cutter shark,n
1149,wading,21,m,Wobbegong shark,n
1151,fishing,40,m,Blue shark,n
1153,surfing,15,m,2.6 m shark,n
1156,surfing,33,m,White shark,n
1157,"diving, but on the surface when bitten by the shark",31,m,Bull shark,n
1159,surfing,41,m,White shark,n
1163,spearfishing,15,m,Bull shark,n
1166,swimming,25,m,Tiger shark,y
1171,snorkeling,24,m,"dusky shark, 2m",n
1172,surfing,13,f,White shark,n
1173,surfing,31,m,White shark,n
1176,swimming,49,m,broadnose sevengill shark,n
1181,kayaking,29,m,White shark,n
1182,snorkeling,51,m,White shark,y
1185,fishing,15,m,Raggedtooth shark,n
1194,scuba diving,34,m,Nurse shark,n
1195,spearfishing,24,m,lemon shark,n
1196,fishing,50,m," reef shark, 1.8m",n
1199,spearfishing,43,m,White shark,n
1201,surfing,40,m,+3' shark,n
1202,swimming,43,m,Bronze whaler shark,n
1203,swimming,32,m,2' to 3' juvenile shark,n
1204,surfing,40,m,Tiger shark,n
1206,surfing,51,m,3 m shark,n
1209,surfing,52,m,4' shark,n
1213,fishing,52,m,Blue shark,n
1215,surfing,26,m,6' shark,n
1220,treading water,38,f,Bull shark,n
1223,surfing,31,m,White shark,n
1226,swimming,33,m,2'  shark,n
1230,wading,9,m,3' shark,n
1231,wading,8,f,3' to 4' shark,n
1233,wading,16,m,4' shark,n
1239,rowing an inflatable dinghy,16,m,"starry smoothhound shark, 1m",n
1241,spearfishing,42,m,Bull shark,n
1242,surf skiing ,46,m,White shark,n
1245,swimming,37,m,4.5 to 5' shark,n
1247,kayaking,40,f,White shark,n
1252,surfing,15,f,5' shark,n
1253,swimming,14,m,Bull shark,n
1256,surfing,49,m,3 m shark,n
1257,surfing,21,m,2 m shark,y
1259,swimming,37,m,White shark,n
1260,fishing,40,m,Bull shark,n
1263,surfing,24,m,Tiger shark,y
1264,surfing,18,m,4' shark,n
1266,swimming,32,m,Bull shark,n
1268,swimming,66,m,White shark,y
1274,surfing,30,m,1.5' to 2' shark,n
1276,wading,15,m,6' shark,n
1278,body boarding,16,m,Bull shark,y
1281,surfing,52,m,4' to 5' shark,n
1283,surfing,13,m,2.5' shark,n
1285,jet skiing,8,m,Not a shark,n
1286,surfing,27,m,White shark,n
1287,diving,49,m,Bull shark,y
1290,surfing,14,f,1 m shark,n
1293,surf-skiing,42,m,Blacktip shark,n
1294,accidentally stood on hooked shark's tail before attempting to gut it ,20,m,Mako shark,n
1297,surfing,20,m,a small shark,n
1299,surfing,26,m,Hammerhead shark,n
1300,surfing,24,m,3 m shark,n
1302,surfing,31,m,2 m shark,n
1303,swimming,,m,"""a small shark""",n
1305,surfing,52,m,Tiger shark,n
1307,removing fish from a trap,28,m,2.27 m shark,n
1308,fishing,32,m,reef shark,n
1310,surfing,14,m,1.5 to 2 m shark,n
1311,surfing,21,m,4' to 5' shark,n
1312,surfing,42,m,5' shark,n
1313,surfing,37,m,White shark,n
1315,floating,32,m,Tiger shark,n
1316,surf-skiing,52,f,White shark,n
1317,spearfishing,31,m,Bronze whaler shark,n
1318,surfing,22,m,3' to 4' shark,n
1319,surfing,16,m,Blacktip shark,n
1322,swimming,23,f,Tiger shark,y
1323,spearfishing,48,f,caribbean reef shark,n
1325,swimming,18,f,oceanic whitetip sharks were in the vicinity,n
1328,surfing,23,m,3' shark,n
1331,surfing,,f,9.5' shark?,n
1332,snorkeling,14,m,Nurse shark,n
1336,jumping,12,f,"18"" to 24"" shark",n
1337,swimming,58,m,possibly a spinner shark,n
1338,body boarding,15,m,Tiger shark,n
1339,surfing,24,m,White shark,n
1340,surfing,54,m,3' shark,n
1341,surfing,27,m,3' shark,n
1345,surfing,16,m,4' to 5' shark,n
1347,floating near boat & observing bioluminesce,20,m,Bull shark,n
1348,swimming,15,f, ,n
1352,jumped into the water,19,f,Bull shark,n
1357,snorkeling,36,m, ,n
1358,wading,15,m,Bronze whaler shark,n
1359,swimming,14,m,2' to 3' shark,n
1360,scuba diving,48,m,"3' small spotted catshark, scyliorhinus canicula",n
1362,wading,30,f,5' shark,n
1363,spearfishing,48,f,Bull shark,n
1365,body boarding,17,m,2 m shark,n
1369,surfing,20,m,4' shark,n
1375,reviving a sedated shark,40,f,Blacktip shark,n
1376,fishing,38,m,"lesser spotted dogfish, scyliorhinus canicula, less than 80 cm in length",n
1377,wading,38,f,2.5 m shark,n
1378,surfing,19,m,10' shark,n
1379,surfing,21,f,4' to 5' shark,n
1382,snorkeling,63,f,Tiger shark,n
1383,swimming,68,m,6' to 8' shark,n
1385,shark tagging,20,f,"lemon shark, >1 m ",n
1386,swimming,13,f,"""a small shark""",n
1387,body boarding,12,m,Blacktip shark,n
1388,surfing,24,m,3' to 4' shark,n
1390,surfing,26,m,Tiger shark,n
1392,surfing,27,m,3' shark,n
1395,surfing,11,m,4' to 5' shark,n
1396,surfing,42,f,1.5 m shark,n
1398,swimming,59,f,2 to 2.5 m shark,n
1400,spearfishing,16,m,Tiger shark,n
1404,spearfishing,30,m,Tiger shark,n
1406,diving,41,m,White shark,n
1408,swimming,24,m,Tiger shark,y
1411,surfing,24,m,Tiger shark,n
1412,surfing,25,m,2.5 to 3 m shark,n
1413,surfing,10,m,2 to 3 m shark,n
1414,surfing,43,m,White shark,n
1415,fishing,25,m,Raggedtooth shark,n
1416,body boarding,15,m,White shark,n
1418,swimming,29,m,2 m to 3 m shark,n
1420,surfing,22,m,White shark,n
1424,playing soccer in the water,18,m,3' to 3.5' shark,n
1431,swimming,55,m,spinner shark,n
1432,surfing,52,m,5' shark,n
1435,standing,33,m,3' shark,n
1437,surfing,37,m,White shark,n
1446,lifesaving drill,24,m,White shark,n
1450,surfing,41,m,White shark,n
1453,surf-skiing,19,m,White shark,n
1454,surfing,14,m, ,n
1457,standing,49,m,"angel shark, 1.2m ",n
1463,body boarding,14,f,Bull shark,n
1465,spearfishing,28,f,Blacktip shark,n
1466,spearfishing,35,m,Blacktip shark,n
1470,surfing,22,f,Blacktip shark,n
1473,surfing,24,m,2' to 3' shark,n
1474,playing,7,f,3' to 4' shark,n
1475,surfing,40,m,White shark,n
1476,spearfishing,26,m,Tiger shark,n
1479,spearfishing,15,m,"grey reef shark, 5' to 8' ",n
1481,scuba diving,30,f,Tiger shark,n
1484,snorkeling,46,m,Wobbegong shark,n
1488,fishing,35,m,Bull shark,n
1489,surfing,15,m,Bronze whaler shark,n
1490,body boarding,15,m,Raggedtooth shark,n
1491,swimming,35,m,Tiger shark,n
1494,surfing,28,f,Tiger shark,n
1496,surfing,21,m,Tiger shark,n
1497,surfing,15,m,Bronze whaler shark,n
1498,standing,15,f,5' to 7' shark,n
1503,surfing,15,m,Raggedtooth shark,n
1504,swimming,24,f,Tiger shark,y
1505,kayaking,57,m,12' to 18' shark,n
1506,competing in the woodvale atlantic rowing race,46,m,12' shark,n
1510,scuba diving,52,m,White shark,n
1512,swimming,21,f,Bull shark,y
1513,surfing,21,m,4' shark,n
1514,diving for crayfish,49,m,said to involve a 1.5 m shark,n
1515,surfing,30,m,White shark,n
1516,swimming,29,m,Tiger shark,n
1518,spearfishing,44,m,whitetip reef shark,n
1521,surfing,23,m,4' shark,n
1523,surfing,18,m,1.8 m shark,n
1526,surfing,30,m,4' shark,n
1529,fishing,32,m,Raggedtooth shark,n
1530,surfing,18,m,6' shark,n
1532,surfing,26,m,White shark,n
1533,wading,15,m,2' to 3' shark,n
1534,standing,55,m,2' shark,n
1535,surfing,20,m,3 m shark,n
1536,surfing,36,m,White shark,n
1537,surfing,20,f,White shark,n
1539,surfing,22,m,Tiger shark,n
1540,scuba diving,57,f,caribbean reef sharks,n
1543,surf-skiing,52,m,White shark,n
1544,surfing,28,m,Tiger shark,n
1545,surfing,26,m,White shark,n
1546,surfing,44,m,Bronze whaler shark,n
1548,surfing,68,f,3' to 4' shark,n
1551,wading,18,f,Bull shark,n
1552,surfing,40,m,White shark,n
1554,removing shark from net,21,m,"2 m [6.75'] shark, 200-kg shark t",y
1555,scuba diving,23,m,White shark,y
1556,surfing,37,m,White shark,n
1558,swimming,8,m,Blacktip shark,n
1561,surfing,16,m,1.8 m [6'] shark,n
1568,scuba diving,24,m,3.5 m [11.5']shark,n
1570,swimming,22,m,[4.5' to 5'] shark,n
1571,holding onto an inflatable boat,14,f,[4' to 5'],n
1573,fishing,16,m,Bull shark,n
1574,swimming,14,f,Bull shark,y
1575,swimming,7,f,"on 8/13/2005 anglers from new zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. it was believed this was the same shark that killed alysha",y
1578,swimming,20,m,"unknown, but it was reported that a shark tooth was recovered from the wound",n
1579,diving,38,f,White shark,n
